Course Code,Offering Unit/Department,Course Title,Course Description,Discipline Specific (Up to 5) - the dropdown list changes based on the Offering Unit/Department selection.,SMU Graduate Learning Outcomes,Grading Basis (e.g. Graded or Pass/Fail),Course Attributes,Requisites,Column2,Prerequisite_Codes,Corequisite_Codes,Antirequisite_Codes
ACCT221,SOA,Accounting Information Systems,"This course provides knowledge about the analysis, design, and use of accounting information systems. It addresses the following key concepts: role of internal control in an accounting system; documentation of accounting information systems; database management, business processes and modeling; and the role of accounting information systems in major processes of the business cycle.","Governance, Internal Controls, Risk Assessment, Risk Management, Accounting and Tax Systems","Critical thinking & problem solving, Collaboration and leadership, Communication, Self-directed learning",GRD - Graded,"AREA - Accounting Core (Intake 2018 and earlier), AREA - Accounting Core (Intake 2019 onwards), AREA - Accounting Data and Analytics Core, AREA - Advanced Business Technology Major, AREA - Analytics Major, AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - IS Related Courses, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 1 ISEP; 1 SUSEP, RQCP - ACCT101/103/111/105, RQCX - ACCT203, TRCK - Analytics Major: Accounting Track",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=ACCT221,,,
ACCT223,SOA,Taxation,"On completion of this course, students should be able to explain the operation of the Singapore tax system; prepare computations of the corporate tax liability for individual companies; prepare computations of the income tax liability for employees, sole traders and partners; explain and apply the scope and principles of Goods and Services Tax (GST); explain the use of exemptions and reliefs in deferring or minimising tax liabilities; and learn the basic understanding and skills required for the Tax Planning course.","Tax Compliance, Accounting and Tax Systems, Environment, Social and Governance","Critical thinking & problem solving, Collaboration and leadership, Communication, Understanding of sustainability issues",GRD - Graded,"AREA - Accounting Core (Intake 2018 and earlier), AREA - Accounting Core (Intake 2019 onwards), AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Legal Studies Related, AREA - Singapore Studies (Intake 2019 to 2023), AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 1 ISEP; 1 SUSEP, RQCP - ACCT101/103/111/105, RQCX - ACCT204",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=ACCT223,ACCT403,,
ACCT224,SOA,Financial Reporting and Analysis,"This course provides an in-depth examination of corporate accounting issues and financial reporting standards as well as the analysis and interpretation of financial statements prepared under those standards. Particular emphasis will be given to the application and interpretation of Financial Reporting Standards (FRS) of Singapore. Topics covered include: financial reporting framework, presentation of financial statements, accounting standards and disclosure requirements, classification of income, quarterly reporting, changes in accounting policies and methods, accounting for non-current assets (including asset revaluation, assets held for sale, investment property, biological assets, and intangibles), impairment of assets, leases, provisions and contingencies, revenue recognition, and employee benefits.","Accounting Standards, Financial Analysis, Financial Reporting","Critical thinking & problem solving, Collaboration and leadership, Communication",GRD - Graded,"AREA - Accounting Core (Intake 2018 and earlier), AREA - Accounting Core (Intake 2019 onwards), AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Finance Core, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 1 ISEP; 1 SUSEP, RQCP - ACCT101/103/111/105, RQCX - ACCT201, RQCX - ACCT201A, RQCX - ACCT222",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=ACCT224,ACCT331|ACCT332|ACCT334|ACCT336|ACCT407|ACCT421,,ACCT201
ACCT331,SOA,Audit and Assurance,"The focus of this course is predominantly on the external financial statement audit, within the framework of assurance. However, auditing is multidisciplinary in nature, requiring and integrating knowledge of business, accounting, information systems, law and strategy.

Students who have yet to complete ACCT201A Corporate Reporting & Analysis of Financial Statements, ACCT203 Accounting Information Systems and ACCT206 Governance, Risk and Assurance, are strongly advised not to sign up for this course. Students without this necessary prior knowledge will be responsible for acquiring the knowledge on their own.

This course focuses on the audit of financial statements by the external auditor, and is designed to:

1. provide students with an in-depth knowledge and understanding of key auditing and assurance concepts and methodologies;

2. develop the skills and attitudes necessary for providing financial statement audits and other assurance services, including problem-solving and decision making, critical thinking, communication, teamwork, interpersonal skills and professional values and ethics;

3. develop analytical, strategic and systems thinking through the merging and melding of information from related disciplines;

4. inculcate in students an attitude of active learning at both individual and team level, through students' pre-seminar preparation, involvement in seminar discussions, seminar activities and project work; and

5. develop the mindset and values required to succeed in the profession.","Internal Controls, Risk Assessment, Auditing and Assurance Standards, Auditor Independence, Environment, Social and Governance","Multidisciplinary Knowledge, Interdisciplinary Knowledge, Critical thinking & problem solving, Collaboration and leadership, Communication, Ethics and social responsibility, Understanding of sustainability issues, Self-directed learning",GRD - Graded,"AREA - Accounting Core (Intake 2018 and earlier), AREA - Accounting Core (Intake 2019 onwards), AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Social Sciences/PLE Major-related, RQCP - ACCT201/201A/222/224, RQCP - ACCT203/221, RQCX - ACCT202, RQPR - Open to Undergraduates only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=ACCT331,ACCT416|ACCT423|ACCT435,,
ACCT332,SOA,Accounting Thought and Governance,"This course is designed to give students an overview of topics that are relevant to accounting theory development, pertinent research, standard setting and regulation processes within the accounting profession, and contemporary efforts to benefit practice. A systems approach is utilised to facilitate students' understanding of the various accounting model data sets that have been put forward by the accounting profession, including GAAP. Knowledge of this history forms an indispensable repertoire for students to evaluate current developments in accounting and to challenge new initiatives that are continuously being debated on the business environment – accounting interface. Most certainly, the ultimate goal of this course is to have students learn how to learn in the accounting arena combined with the confidence of never growing obsolete on the subject matter of accounting.","Accounting Standards, Governance, Risk Management, Environment, Social and Governance","Multidisciplinary Knowledge, Interdisciplinary Knowledge, Critical thinking & problem solving, Collaboration and leadership, Communication, Intercultural understanding and sensitivity, Understanding of global and Asian perspectives, Ethics and social responsibility, Understanding of sustainability issues, Self-directed learning",GRD - Graded,"AREA - Accounting Core (Intake 2018 and earlier), AREA - Accounting Core (Intake 2019 onwards), AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Social Sciences/PLE Major-related, RQCP - ACCT201/201A/222/224, RQCP - ACCT203/221, RQCX - ACCT304, RQPR - Open to Undergraduates only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=ACCT332,ACCT429,,
ACCT334,SOA,Intermediate Financial Accounting,"In today's volatile, uncertain, complex and ambiguous (VUCA) world, corporations face increasing dimensions of risks in their businesses. Volatility in financial and physical markets, the failure of systemically important financial intermediaries, global climate and health crises, shifting social expectations and corporate governance concerns can directly or indirectly impair the financial, manufactured, natural, human, intellectual and social capitals of corporations. The ability to recognize, measure, manage and communicate such risks becomes critical to the long-term sustainability of corporations. This course examines recognition, measurement, reporting and disclosure requirements for corporations in relation to financial and non-financial risks under the frameworks of the International Financial Reporting Standards (IFRS), the International Sustainability Standards Board (ISSB) and other related bodies. Concepts, principles, and applications—with respect to market, counterparty, and sustainability risks—will be discussed from the perspectives of different stakeholders. While the focus of the course will be primarily on accounting and financial reporting, an integrated approach will be adopted. ","Accounting Standards, Financial Reporting, Non-Financial Reporting, Risk Assessment, Environment, Social and Governance","Interdisciplinary Knowledge, Critical thinking & problem solving, Collaboration and leadership, Communication, Understanding of sustainability issues",GRD - Graded,"AREA - Accounting Core (Intake 2018 and earlier), AREA - Accounting Core (Intake 2019 onwards), AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Social Sciences/PLE Major-related, RQCP - ACCT201/201A/222/224, RQCP - FNCE101/FNCE103, RQPR - Open to Undergraduates only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=ACCT334,ACCT335,,
ACCT335,SOA,Advanced Financial Accounting,"This course focuses on the accounting requirements of complex arrangements and transactions with the primary theme of accounting for group entities. Specific topics include accounting for business combinations involving a group structure, consolidation principles and processes, consolidation of multi-level group structures, changes in ownership interests, consolidated cash flow statements, equity accounting and translation of foreign operations. This course builds upon and also reinforces the pre-requisite knowledge covered in earlier financial accounting courses, primarily Intermediate Financial Accounting.","Accounting Standards, Financial Reporting, Group Accounting and Consolidation","Critical thinking & problem solving, Collaboration and leadership, Communication",GRD - Graded,"AREA - Accounting Core (Intake 2018 and earlier), AREA - Accounting Core (Intake 2019 onwards), AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Social Sciences/PLE Major-related, RQCP - ACCT334, RQCX - ACCT301, RQCX - ACCT333, RQPR - Open to Undergraduates only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=ACCT335,,,
ACCT336,SOA,Valuation,"This course covers valuation of both financial as well as real assets, including the valuation of businesses and entities, stocks, bonds, futures, options, swaps, and real options.  An examination of certain critical steps in the valuation process such as discount rate estimation and financial statement forecasting will be discussed.  Special topics might include valuation of start-up companies, distressed firms, financial institutions, intellectual property and intangible assets. 

The objective of this course is to equip students with tools and techniques to be able to undertake valuation of a broad range of assets and liabilities commonly required under International Financial Reporting Standards (IFRS).",Valuation,"Multidisciplinary Knowledge, Interdisciplinary Knowledge, Critical thinking & problem solving, Collaboration and leadership, Communication",GRD - Graded,"AREA - Accounting Core (Intake 2019 onwards), AREA - Accounting Options, AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Finance Electives, AREA - Social Sciences/PLE Major-related, RQCP - ACCT201/201A/222/224, RQCP - FNCE101/FNCE103, RQCX - ACCT408, RQPR - Open to Undergraduates only",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=ACCT336,,,
ACCT337,SOA,Statistical Programming,"In Data Analytics for Accountants, Richardson et al. (2021) define Data Analytics (DA) as ""the process of evaluating data with the purpose of drawing conclusions to address business questions"". Increasingly, accountants are expected to create value for businesses through the use of technology and DA tools are often regarded as the first step in transforming raw data into knowledge that can be acted upon by decision makers. 

Given the heavy use of statistics in applying analytics to accounting data, this course aims to provide students with the foundation in statistical analysis of accounting data and information. This course will focus on the use of R Programming to develop students' statistical knowledge and provide a foundational framework in carrying out DA to solve problems within the accounting context.","Data Analytics, Data Storytelling and Visualisation, Programming and Coding","Multidisciplinary Knowledge, Interdisciplinary Knowledge, Critical thinking & problem solving, Collaboration and leadership, Communication",GRD - Graded,"AREA - Accounting Core (Intake 2019 onwards), AREA - Accounting Data and Analytics Core, AREA - Accounting Options, AREA - Analytics Major, AREA - Business Options, AREA - Business-Oriented Electives, AREA - Data Science and Analytics Core, AREA - Econ Major Rel/Econ Options, AREA - Grad Req - Dig Tech/Data Ana (Intake 2024 onwards), AREA - IS Related Courses, AREA - Social Sciences/PLE Major-related, RQCC - ACCT221/IS304/IS210, RQCP - STAT101/102/151/COR-STAT1202, RQCX - ACCT419, RQCX - DSA211, RQPR - Open to Undergraduates only, TRCK - Analytics Major: Accounting Track",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=ACCT337,ACCT.414|ACCT420|ACCT428|ACCT429|DSA301|DSA302|DSA311|DSA312,,DSA211
ACCT401,SOA,Strategic Management Accounting,"This course aims at providing students with an understanding of topical issues in Management accounting in an organizational setting. This course will examine the use of different value creating management accounting and strategic tools in both the manufacturing and service industries. Topics cover strategy, culture, sustainability and its reporting, group setup for transfer price planning, and selective advanced controlling tools.","Cost Management, Non-Financial Reporting, Governance, Risk Management, Environment, Social and Governance","Multidisciplinary Knowledge, Interdisciplinary Knowledge, Critical thinking & problem solving, Communication, Intercultural understanding and sensitivity, Understanding of global and Asian perspectives, Ethics and social responsibility, Understanding of sustainability issues, Self-directed learning",GRD - Graded,"AREA - Accounting Electives, AREA - Accounting Options, AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 1 ISEP; 1 SUSEP, RQCP - ACCT102/ACCT104/ACCT112, RQCX - ACCT302, RQCX - ACCT431, TRCK - Accounting Major: Financial Management Track",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=ACCT401,,,ACCT431
ACCT403,SOA,Advanced Taxation,"The aim of this course is to help students in their practical application of taxation law and principles, which they learned in an earlier course. It also aims to increase their knowledge and understanding of the taxation issues commonly raised by businesses and individuals. On completion of this course, the students should have a better understanding of the main taxation issues related to individuals and businesses; and apply the main taxation principles to real life.","Professional and Business Ethics, Tax Advisory, Tax Compliance, Accounting and Tax Systems, Environment, Social and Governance","Interdisciplinary Knowledge, Critical thinking & problem solving, Innovation and enterprising skills, Collaboration and leadership, Communication, Ethics and social responsibility, Understanding of sustainability issues, Self-directed learning, Resilience",GRD - Graded,"AREA - Accounting Electives, AREA - Accounting Options, AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Legal Studies Related, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 1 ISEP; 1 SUSEP, RQCP - ACCT204/223, RQCX - ACCT305, TRCK - Accounting Major: Financial Management Track, TRCK - Accounting Major: Taxation Track",Yes,https://ccms.smu.edu.sg/courses?page=1&cq=ACCT403,,,
